CustomerId,Issue_Type,Feedback_Text,Issue Level
15634602,UPI,UPI payment failed but money debited,High
15634602,ATM,ATM machine not working nearby,Medium
15634602,Charges,Unexpected SMS charges deducted,Medium
15619304,Service,Long queue and slow service in branch,Medium
15701354,App,Mobile app not opening after update,High
15737888,Transactions,Amount debited twice,High
15574012,Support,Customer care not responding in Tamil,High
15592531,Loan,Loan status not updated,Medium
15634602,Notifications,OTP not received,High
15647311,Internet Banking,Net banking very slow,Medium
15647311,Service,Staff not responding properly,Medium
15592531,Charges,Hidden charges deducted,High
15792365,App,App crashing frequently,High
15592389,Transactions,Transaction failed multiple times,High
15737888,ATM,ATM cash not available often,Medium
15737888,Support,No proper response from support,High
15574012,App,App login issue frequently,High
15574012,Transactions,Payment stuck for long time,Medium
15574012,Notifications,SMS alert delayed,Low
15619304,Loan,Loan approval taking too long,Medium
15619304,UPI,UPI transaction pending for long,High
15701354,Internet Banking,Page loading very slow,Medium
15592531,Service,Branch staff behavior not good,Low
15701354,App,App update causing issues,Medium
15615797,Charges,ATM withdrawal charges high,Medium
15647725,Service,Delay in account service,Medium
15689341,App,Frequent logout issue,Medium
15813113,Transactions,Refund delayed,Medium
15720559,Support,Call waiting time too long,Medium
15743411,Loan,Incorrect loan details shown,High
15712551,Notifications,Email alerts not received,Low
15597914,Internet Banking,Session timeout too fast,Low
15601594,UPI,QR payment not working,High
15783615,App,App UI confusing,Low
15609623,ATM,ATM card not accepted sometimes,Medium
15724863,Charges,Extra charges applied wrongly,High
15737452,App,Slow response in app,Medium
15672594,Transactions,Double debit issue,High
15704442,Support,Issue not resolved properly,High
15776233,Loan,Loan EMI details mismatch,High
15704442,UPI,UPI limit too low,Low
15611767,Internet Banking,Login error frequently,Medium
15647008,Service,Waiting time too long in branch,Medium
15605059,App,App hangs during transaction,High
15704442,Charges,Unclear bank charges,Medium
15603565,Support,No follow-up from bank,High
15686835,App,OTP delay issue in app,High
15592773,Transactions,Transaction history not updated,Medium
15810418,Notifications,No notification for debit,High
15612525,Loan,Loan closure process delayed,Medium
15813659,UPI,UPI payment stuck for long time,High
15708534,ATM,ATM card stuck inside machine,High
15578799,Charges,Annual maintenance charges too high,Medium
15794142,Service,Staff not explaining clearly,Medium
15745083,App,App login taking too long,Medium
15699325,Transactions,Money debited but not credited to receiver,High
15686242,Support,Language issue in customer care,High
15704442,Loan,Loan interest details not clear,Medium
15585362,Notifications,Delayed OTP for login,High
15668248,Internet Banking,Frequent login errors,Medium
15722246,Service,Branch staff ignoring customers,Medium
15694376,Charges,Extra service charges applied,High
15596761,App,App freezing during payment,High
15743490,Transactions,Transaction timeout issue,Medium
15799966,ATM,ATM machine out of cash frequently,Medium
15624820,Support,No update on complaint status,High
15704442,App,App slow during peak hours,Medium
15783019,Transactions,Refund not processed,High
15654733,Notifications,No SMS for credit,Medium
15803538,Loan,Loan approval delayed,Medium
15710087,UPI,UPI server down frequently,High
15670374,Internet Banking,Session expires too fast,Low
15671591,Service,Too much waiting time,Medium
15686099,App,App crashing after login,High
15680303,Charges,Hidden ATM fees,Medium
15691785,Service,Delay in updating passbook,Low
15796910,App,App not syncing properly,Medium
15641175,Transactions,Duplicate transaction recorded,High
15767474,Support,Support team disconnecting calls,High
15776780,Loan,Incorrect EMI charged,High
15647385,Notifications,No email updates,Low
15712403,Internet Banking,Website very slow,Medium
15677310,UPI,QR scan not working,Medium
15712403,App,App not loading dashboard,High
15701439,ATM,ATM not dispensing cash properly,High
15578865,Charges,Wrong penalty charges,High
15596870,App,App not showing balance correctly,High
15793455,Transactions,Transaction pending for long,Medium
15623630,Notifications,No alert for debit transaction,High
15583073,Loan,Loan closure delay,Medium
15588614,UPI,UPI daily limit issue,Low
15746708,Internet Banking,Login page error,Medium
15712403,Service,Slow counter service,Medium
15611430,App,App hanging issue,High
15690007,Charges,Unclear bank deductions,Medium
15750778,Support,No proper response,High
15616859,App,OTP not received in app,High
15571059,Transactions,Transaction history mismatch,Medium
15811690,Notifications,Delayed alerts,Low
15577515,Loan,Loan documentation delay,Medium
15679770,Service,Repeated delay in branch service every visit,High
15653937,ATM,ATM not dispensing cash but amount debited,High
15654577,Charges,Unexplained deductions every month,High
15701602,Support,Customer complaints not resolved for weeks,High
15687001,Loan,Loan application rejected without reason,Medium
15761294,Transactions,Transaction history mismatch causing confusion,High
